,encode,set_num,ign_len,rep_time,data_block_delta,similarity,label
1230,010101001,1,3,10.0,13.0,0.0,0
1231,010101010,1,3,11.0,13.0,0.0,0
1232,010101011,1,3,10.0,13.0,0.0,0
1233,010101100,1,3,11.0,13.0,0.0,0
1234,010101101,1,3,10.0,13.0,0.0,0
1235,010101110,1,3,11.0,13.0,0.0,0
1236,010101111,1,3,10.0,13.0,0.0,0
1237,010110001,1,3,13.0,5.0,0.4065785563073631,0
1238,010110010,1,3,11.0,13.0,0.0,0
1239,010110011,1,3,10.0,13.0,0.0,0
1240,010110100,1,3,16.0,4.0,0.3674234614174767,1
1241,010110101,1,3,13.0,5.0,0.4065785563073631,0
1242,010110110,1,3,11.0,13.0,0.0,0
1243,010110111,1,3,10.0,13.0,0.0,0
1244,010111000,1,3,11.0,13.0,0.0,0
1245,010111001,1,3,10.0,13.0,0.0,0
1246,010111010,1,3,11.0,13.0,0.0,0
1247,010111011,1,3,10.0,13.0,0.0,0
1248,010111100,1,3,11.0,13.0,0.0,0
1249,010111101,1,3,10.0,13.0,0.0,0
1250,010111110,1,3,11.0,13.0,0.0,0
1251,010111111,1,3,10.0,13.0,0.0,0
1252,011000011,3,3,11.0,5.666666666666667,0.0,1
1253,011000101,1,3,13.0,5.0,0.3865006029094686,0
1254,011000110,1,3,11.0,13.0,0.0,0
1255,011000111,1,3,10.0,13.0,0.0,0
1256,011001001,1,3,10.0,13.0,0.0,0
1257,011001010,1,3,11.0,13.0,0.0,0
1258,011001011,1,3,10.0,13.0,0.0,0
1259,011001100,1,3,11.0,13.0,0.0,0
1260,011001101,1,3,10.0,13.0,0.0,0
1261,011001110,1,3,11.0,13.0,0.0,0
1262,011001111,1,3,10.0,13.0,0.0,0
1263,011010001,1,3,13.0,5.0,0.4065785563073631,0
1264,011010010,1,3,11.0,13.0,0.0,0
1265,011010011,1,3,10.0,13.0,0.0,0
1266,011010100,1,3,16.0,4.0,0.3674234614174767,1
1267,011010101,1,3,13.0,5.0,0.4065785563073631,0
1268,011010110,1,3,11.0,13.0,0.0,0
1269,011010111,1,3,10.0,13.0,0.0,0
1270,011011000,1,3,11.0,13.0,0.0,0
1271,011011001,1,3,10.0,13.0,0.0,0
1272,011011010,1,3,11.0,13.0,0.0,0
1273,011011011,1,3,10.0,13.0,0.0,0
1274,011011100,1,3,11.0,13.0,0.0,0
1275,011011101,1,3,10.0,13.0,0.0,0
1276,011011110,1,3,11.0,13.0,0.0,0
1277,011011111,1,3,10.0,13.0,0.0,0
1278,011100001,2,3,11.5,4.5,0.23760102015471204,0
1279,011100010,2,3,10.5,8.5,0.0,0
1280,011100011,2,3,10.0,8.5,0.0,0
1281,011100100,1,3,16.0,4.0,0.42426406871192845,1
1282,011100101,1,3,13.0,5.0,0.3865006029094686,0
1283,011100110,1,3,11.0,13.0,0.0,0
1284,011100111,1,3,10.0,13.0,0.0,0
1285,011101000,1,3,11.0,13.0,0.0,0
1286,011101001,1,3,10.0,13.0,0.0,0
1287,011101010,1,3,11.0,13.0,0.0,0
1288,011101011,1,3,10.0,13.0,0.0,0
1289,011101100,1,3,11.0,13.0,0.0,0
1290,011101101,1,3,10.0,13.0,0.0,0
1291,011101110,1,3,11.0,13.0,0.0,0
1292,011101111,1,3,10.0,13.0,0.0,0
1293,011110000,1,3,16.0,4.0,0.2882306768491569,1
1294,011110001,1,3,13.0,5.0,0.4065785563073631,0
1295,011110010,1,3,11.0,13.0,0.0,0
1296,011110011,1,3,10.0,13.0,0.0,0
1297,011110100,1,3,16.0,4.0,0.3674234614174767,1
1298,011110101,1,3,13.0,5.0,0.4065785563073631,0
1299,011110110,1,3,11.0,13.0,0.0,0
1300,011110111,1,3,10.0,13.0,0.0,0
1301,011111000,1,3,11.0,13.0,0.0,0
1302,011111001,1,3,10.0,13.0,0.0,0
1303,011111010,1,3,11.0,13.0,0.0,0
1304,011111011,1,3,10.0,13.0,0.0,0
1305,011111100,1,3,11.0,13.0,0.0,0
1306,011111101,1,3,10.0,13.0,0.0,0
1307,011111110,1,3,11.0,13.0,0.0,0
1308,011111111,1,3,10.0,13.0,0.0,0
1309,100000111,1,3,10.0,13.0,0.0,0
1310,100001011,1,3,10.0,13.0,0.0,0
1311,100001101,1,3,10.0,13.0,0.0,0
1312,100001110,1,3,11.0,13.0,0.0,0
1313,100001111,1,3,10.0,13.0,0.0,0
1314,100010011,1,3,10.0,13.0,0.0,0
1315,100010101,1,3,13.0,5.0,0.4065785563073631,0
1316,100010110,1,3,11.0,13.0,0.0,0
1317,100010111,1,3,10.0,13.0,0.0,0
1318,100011001,1,3,10.0,13.0,0.0,0
1319,100011010,1,3,11.0,13.0,0.0,0
1320,100011011,1,3,10.0,13.0,0.0,0
1321,100011100,1,3,11.0,13.0,0.0,0
1322,100011101,1,3,10.0,13.0,0.0,0
1323,100011110,1,3,11.0,13.0,0.0,0
1324,100011111,1,3,10.0,13.0,0.0,0
1325,100100011,2,3,10.0,8.5,0.0,0
1326,100100101,1,3,13.0,5.0,0.3865006029094686,0
1327,100100110,1,3,11.0,13.0,0.0,0
1328,100100111,1,3,10.0,13.0,0.0,0
1329,100101001,1,3,10.0,13.0,0.0,0
1330,100101010,1,3,11.0,13.0,0.0,0
1331,100101011,1,3,10.0,13.0,0.0,0
1332,100101100,1,3,11.0,13.0,0.0,0
1333,100101101,1,3,10.0,13.0,0.0,0
1334,100101110,1,3,11.0,13.0,0.0,0
1335,100101111,1,3,10.0,13.0,0.0,0
1336,100110001,1,3,13.0,5.0,0.4065785563073631,0
1337,100110010,1,3,11.0,13.0,0.0,0
1338,100110011,1,3,10.0,13.0,0.0,0
1339,100110100,1,3,16.0,4.0,0.3674234614174767,1
1340,100110101,1,3,13.0,5.0,0.4065785563073631,0
1341,100110110,1,3,11.0,13.0,0.0,0
1342,100110111,1,3,10.0,13.0,0.0,0
1343,100111000,1,3,11.0,13.0,0.0,0
1344,100111001,1,3,10.0,13.0,0.0,0
1345,100111010,1,3,11.0,13.0,0.0,0
1346,100111011,1,3,10.0,13.0,0.0,0
1347,100111100,1,3,11.0,13.0,0.0,0
1348,100111101,1,3,10.0,13.0,0.0,0
1349,100111110,1,3,11.0,13.0,0.0,0
1350,100111111,1,3,10.0,13.0,0.0,0
1351,101000011,2,3,10.0,8.5,0.0,0
1352,101000101,1,3,13.0,5.0,0.3865006029094686,0
1353,101000110,1,3,11.0,13.0,0.0,0
1354,101000111,1,3,10.0,13.0,0.0,0
1355,101001001,1,3,10.0,13.0,0.0,0
1356,101001010,1,3,11.0,13.0,0.0,0
1357,101001011,1,3,10.0,13.0,0.0,0
1358,101001100,1,3,11.0,13.0,0.0,0
1359,101001101,1,3,10.0,13.0,0.0,0
1360,101001110,1,3,11.0,13.0,0.0,0
1361,101001111,1,3,10.0,13.0,0.0,0
1362,101010001,1,3,13.0,5.0,0.4065785563073631,0
1363,101010010,1,3,11.0,13.0,0.0,0
1364,101010011,1,3,10.0,13.0,0.0,0
1365,101010100,1,3,16.0,4.0,0.3674234614174767,1
